"Wo","CR","Freq","Qall"
"126",7.9078838,0.51622868,1.8309475,0.00709291114139357
"127",7.9078838,0.58150521,1.25,0.0126021814344318
"128",7.9078838,0.675,0.60414777,0.0234061245351134
"129",7.9078838,0.675,0.6690525,0.0198784820119699
"130",7.9078838,0.675,0.8169873,0.0105078027563447
"131",7.9078838,0.675,0.99501422,0.011930513374054
"132",7.9078838,0.675,1.25,0.0152887442671843
"133",7.9078838,0.675,1.5049858,0.0151270073569976
"134",7.9078838,0.675,1.6830127,0.0162541535890337
"135",7.9078838,0.675,1.8309475,0.0155500183629836
"136",7.9078838,0.675,1.8958522,0.0150611313845071
"137",7.9078838,0.76849479,1.25,0.0208039498963197
"138",7.9078838,0.83377132,0.6690525,0.0332363867299771
"139",7.9078838,0.83377132,0.8169873,0.0262367229436626
"140",7.9078838,0.83377132,1.25,0.0272841293216173
"141",7.9078838,0.83377132,1.6830127,0.0338519423680788
"142",7.9078838,0.83377132,1.8309475,0.0329630141711777
"143",7.9078838,0.88801408,0.8169873,0.0346102351477402
"144",7.9078838,0.88801408,1.25,0.0359832382246078
"145",7.9078838,0.88801408,1.6830127,0.0433151723153216
"146",7.9078838,0.91181249,1.25,0.0396477650827643
"147",8.8842535,0.46198592,1.25,0.0111276707218799
"148",8.8842535,0.51622868,0.8169873,0.00499713070526702
"149",8.8842535,0.51622868,1.25,0.0126025476541699
"150",8.8842535,0.51622868,1.6830127,0.00726797207555266
"151",8.8842535,0.675,0.6690525,0.0217776696295471
"152",8.8842535,0.675,0.8169873,0.0104629251883258
"153",8.8842535,0.675,1.25,0.0168571133331438
"154",8.8842535,0.675,1.6830127,0.0165477199110139
"155",8.8842535,0.675,1.8309475,0.0158115614939474
"156",8.8842535,0.83377132,0.8169873,0.0262856150301753
"157",8.8842535,0.83377132,1.25,0.0289337770274546
"158",8.8842535,0.83377132,1.6830127,0.0341368882149544
"159",8.8842535,0.88801408,1.25,0.0369387238942192
"160",9.3126247,0.51622868,1.25,0.0136165795532809
"161",9.3126247,0.675,0.8169873,0.0104559486978825
"162",9.3126247,0.675,1.25,0.0182463525264477
"163",9.3126247,0.675,1.6830127,0.0166483426458356
"164",9.3126247,0.83377132,1.25,0.0296894463814329
"165",9.5355902,0.675,1.25,0.0188574876806894
